Dens,Lat,Long
0.61995,-74.0523885,4.822183395
0.61995,-74.05184761,4.822183375
0.61995,-74.05292937,4.822725998
0.61995,-74.05238848,4.822725978
0.61995,-74.05184759,4.822725958
0.61995,-74.05292935,4.823268581
0.61995,-74.05238846,4.823268562
0.61995,-74.05184757,4.823268541
0.61995,-74.05292934,4.823811164
0.61995,-74.05238844,4.823811145
0.61995,-74.05184755,4.823811124
0.61995,-74.05292932,4.824353748
0.61995,-74.05238842,4.824353728
0.61995,-74.05184753,4.824353708
0.61995,-74.0529293,4.824896331
0.61995,-74.0523884,4.824896311
0.61995,-74.05184751,4.824896291
0.61995,-74.05292928,4.825438914
0.61995,-74.05238838,4.825438894
0.61995,-74.05184749,4.825438874
0.61995,-74.05292926,4.825981497
0.61995,-74.05238836,4.825981477
0.61995,-74.05184747,4.825981457
0.61995,-74.05238834,4.82652406
0.038976,-74.03616184,4.821097436
0.038976,-74.03562095,4.821097402
0.038976,-74.03724359,4.821640084
0.038976,-74.0367027,4.821640051
0.038976,-74.03616181,4.821640019
0.038976,-74.03562092,4.821639985
0.038976,-74.03832534,4.82218273
0.038976,-74.03778445,4.822182698
0.038976,-74.03724356,4.822182667
0.038976,-74.03670267,4.822182634
0.038976,-74.03616178,4.822182602
0.038976,-74.03562089,4.822182569
0.038976,-74.03940709,4.822725374
0.038976,-74.0388662,4.822725344
0.038976,-74.03832531,4.822725313
0.038976,-74.03778442,4.822725282
0.038976,-74.03724353,4.82272525
0.038976,-74.03670264,4.822725217
0.038976,-74.03616174,4.822725185
0.038976,-74.03562085,4.822725152
0.038976,-74.03994795,4.823267988
0.038976,-74.03940706,4.823267958
0.038976,-74.03886617,4.823267927
0.038976,-74.03832528,4.823267896
0.038976,-74.03778439,4.823267865
0.038976,-74.03724349,4.823267833
0.038976,-74.0367026,4.8232678
0.038976,-74.03616171,4.823267768
0.038976,-74.03562082,4.823267735
0.038976,-74.03994792,4.823810571
0.038976,-74.03940703,4.823810541
0.038976,-74.03886614,4.82381051
0.038976,-74.03832525,4.823810479
0.038976,-74.03778435,4.823810448
0.038976,-74.03724346,4.823810416
0.038976,-74.03670257,4.823810383
0.038976,-74.03616168,4.823810351
0.038976,-74.03562079,4.823810318
0.038976,-74.03994789,4.824353154
0.038976,-74.039407,4.824353124
0.038976,-74.03886611,4.824353093
0.038976,-74.03832522,4.824353062
0.038976,-74.03778432,4.824353031
0.038976,-74.03724343,4.824352999
0.038976,-74.03670254,4.824352966
0.038976,-74.03616165,4.824352934
0.038976,-74.03562075,4.824352901
0.038976,-74.03994786,4.824895737
0.038976,-74.03940697,4.824895707
0.038976,-74.03886608,4.824895676
0.038976,-74.03832518,4.824895645
0.038976,-74.03778429,4.824895614
0.038976,-74.0372434,4.824895582
0.038976,-74.03670251,4.824895549
0.038976,-74.03616161,4.824895517
0.038976,-74.03562072,4.824895484
0.038976,-74.03994783,4.82543832
0.038976,-74.03940694,4.82543829
0.038976,-74.03886605,4.825438259
0.038976,-74.03832515,4.825438228
0.038976,-74.03778426,4.825438197
0.038976,-74.03724337,4.825438165
0.038976,-74.03670247,4.825438132
0.038976,-74.03616158,4.8254381
0.038976,-74.03562069,4.825438067
0.038976,-74.0404887,4.825980932
0.038976,-74.0399478,4.825980903
0.038976,-74.03940691,4.825980873
0.038976,-74.03886602,4.825980842
0.038976,-74.03832512,4.825980811
0.038976,-74.03778423,4.82598078
0.302075,-74.05725657,4.820555808
0.302075,-74.05671568,4.820555792
0.302075,-74.05617479,4.820555775
0.302075,-74.05725655,4.821098392
0.302075,-74.05671566,4.821098375
0.302075,-74.05617477,4.821098358
0.302075,-74.05725654,4.821640975
0.302075,-74.05671565,4.821640958
0.302075,-74.05617476,4.821640942
1.339298,-74.04914331,4.818385186
1.339298,-74.05130685,4.818927856
1.339298,-74.05076596,4.818927835
1.339298,-74.05022507,4.818927813
1.339298,-74.04968418,4.818927791
1.339298,-74.04914329,4.818927769
1.339298,-74.05184771,4.819470459
1.339298,-74.05130682,4.819470439
1.339298,-74.05076594,4.819470418
1.339298,-74.05022505,4.819470396
1.339298,-74.04968416,4.819470374
1.339298,-74.04914327,4.819470352
1.339298,-74.05184769,4.820013043
1.339298,-74.0513068,4.820013022
1.339298,-74.05076592,4.820013001
1.339298,-74.05022503,4.820012979
1.339298,-74.04968414,4.820012957
1.339298,-74.04914325,4.820012935
1.339298,-74.04860236,4.820012912
1.339298,-74.05130678,4.820555605
1.339298,-74.05076589,4.820555584
1.339298,-74.050225,4.820555563
1.339298,-74.04968411,4.820555541
1.339298,-74.04914322,4.820555518
1.339298,-74.04860234,4.820555495
1.339298,-74.05130676,4.821098188
1.339298,-74.05076587,4.821098167
1.339298,-74.05022498,4.821098146
1.339298,-74.04968409,4.821098124
1.339298,-74.0491432,4.821098101
1.339298,-74.04860231,4.821098079
1.339298,-74.05130674,4.821640771
1.339298,-74.05076585,4.82164075
1.339298,-74.05022496,4.821640729
1.339298,-74.04968407,4.821640707
1.339298,-74.04914318,4.821640684
1.339298,-74.05130672,4.822183354
1.339298,-74.05076583,4.822183333
1.339298,-74.05022494,4.822183312
1.339298,-74.04968405,4.82218329
1.339298,-74.0513067,4.822725938
1.339298,-74.05076581,4.822725917
1.339298,-74.05022492,4.822725895
1.339298,-74.05130668,4.823268521
1.339298,-74.05076579,4.8232685
1.325675,-74.04481626,4.817299825
1.325675,-74.04697979,4.817842509
1.325675,-74.0464389,4.817842484
1.325675,-74.04589801,4.817842459
1.325675,-74.04535713,4.817842434
1.325675,-74.04481624,4.817842408
1.325675,-74.04806154,4.81838514
1.325675,-74.04752065,4.818385116
1.325675,-74.04697976,4.818385092
1.325675,-74.04643888,4.818385067
1.325675,-74.04589799,4.818385042
1.325675,-74.0453571,4.818385017
1.325675,-74.04481621,4.818384991
1.325675,-74.04427532,4.818384965
1.325675,-74.04806152,4.818927723
1.325675,-74.04752063,4.818927699
1.325675,-74.04697974,4.818927675
1.325675,-74.04643885,4.818927651
1.325675,-74.04589796,4.818927626
1.325675,-74.04535707,4.8189276
1.325675,-74.04481619,4.818927574
1.325675,-74.04806149,4.819470306
1.325675,-74.0475206,4.819470282
1.325675,-74.04697971,4.819470258
1.325675,-74.04643883,4.819470234
1.325675,-74.04589794,4.819470209
1.325675,-74.04535705,4.819470183
1.325675,-74.04806147,4.820012889
1.325675,-74.04752058,4.820012865
1.325675,-74.04697969,4.820012841
1.325675,-74.0464388,4.820012817
1.325675,-74.04589791,4.820012792
1.325675,-74.04752056,4.820555449
1.325675,-74.04697967,4.820555424
1.325675,-74.04643878,4.8205554
1.622588,-74.04265274,4.816757134
1.622588,-74.04211186,4.816757106
1.622588,-74.04157097,4.816757078
1.622588,-74.04103008,4.816757049
1.622588,-74.04427538,4.817299799
1.622588,-74.04373449,4.817299772
1.622588,-74.0431936,4.817299745
1.622588,-74.04265272,4.817299718
1.622588,-74.04211183,4.81729969
1.622588,-74.04157094,4.817299661
1.622588,-74.04427535,4.817842382
1.622588,-74.04373446,4.817842355
1.622588,-74.04319358,4.817842328
1.622588,-74.04265269,4.817842301
1.622588,-74.0421118,4.817842273
1.622588,-74.04373444,4.818384938
1.622588,-74.04319355,4.818384911
1.622588,-74.04265266,4.818384884
1.622588,-74.04373441,4.818927522
1.850775,-74.04752075,4.816214783
1.850775,-74.04806161,4.81675739
1.850775,-74.04752072,4.816757366
1.850775,-74.04697984,4.816757342
1.850775,-74.04806159,4.817299973
1.850775,-74.0475207,4.81729995
1.850775,-74.04697981,4.817299926
1.25214,-74.05833849,4.815672591
1.25214,-74.0577976,4.815672575
1.25214,-74.05833847,4.816215174
1.25214,-74.05779758,4.816215159
1.25214,-74.0572567,4.816215143
1.25214,-74.05779757,4.816757742
1.25214,-74.05725668,4.816757726
1.25214,-74.05779755,4.817300325
1.25214,-74.05725667,4.817300309
1.25214,-74.05779754,4.817842908
1.25214,-74.05725665,4.817842892
1.25214,-74.05779752,4.818385492
1.25214,-74.05725663,4.818385476
1.25214,-74.05671575,4.818385459
