100	0.61503866
150	0.616177549
200	0.616892167
250	0.617497034
300	0.618332456
350	0.61857652
400	0.618945221
450	0.61893904
500	0.619056267
1000	0.619981219
1500	0.6203287
2000	0.620310475
2500	0.620420644
3000	0.620457184
3500	0.620516184
4000	0.62064069
4500	0.620645838
5000	0.620644883
5500	0.620659033
6000	0.620717588
6500	0.620723259
7000	0.620660464
7500	0.620594932
8000	0.620625111
8500	0.620604695
9000	0.620500118
9500	0.620541785
10000	0.620520048
10500	0.62047027
11000	0.620512928
11500	0.620497757
12000	0.620518782
13000	0.620464278
14000	0.620505097
15000	0.620515236
16000	0.620479499
17000	0.620533298
18000	0.620557766
19000	0.620566578
20000	0.620584124
21000	0.620631705
22000	0.620662669
23000	0.62063588
24000	0.620602411
25000	0.62061742
