Dens,Lat,Long
455.0324604,-74.12916835,4.455393887
452.9107899,-74.12862774,4.455393925
450.5736127,-74.12808713,4.455393963
552.7007025,-74.16863306,4.455932642
552.6689566,-74.16809245,4.455932708
553.9565301,-74.16755183,4.455932775
564.6142842,-74.16484878,4.455933101
565.2622359,-74.16430816,4.455933165
570.9909238,-74.16376755,4.455933229
588.4775857,-74.15511776,4.455934193
427.1360354,-74.13998063,4.455935636
417.9773282,-74.13944002,4.455935682
420.1451591,-74.13889941,4.455935727
415.7203729,-74.13619634,4.455935948
447.1192899,-74.13187145,4.455936281
454.2492259,-74.13133084,4.455936321
440.9552894,-74.13079022,4.45593636
452.1317362,-74.13024961,4.455936399
453.4319435,-74.12916839,4.455936476
440.5762144,-74.12862778,4.455936514
438.3893521,-74.12808716,4.455936551
551.8946169,-74.16863312,4.45647523
548.956195,-74.16809251,4.456475296
550.802993,-74.1675519,4.456475363
560.4818676,-74.16538945,4.456475625
568.4160852,-74.16484884,4.456475689
561.7875124,-74.16430823,4.456475753
571.5747899,-74.16376762,4.456475817
566.0813514,-74.163227,4.45647588
426.4766158,-74.13998068,4.456478225
422.432246,-74.13944006,4.45647827
452.7314301,-74.1324121,4.456478829
454.1040282,-74.13187149,4.45647887
451.0073837,-74.13133088,4.456478909
438.9037194,-74.12700598,4.456479213
553.8062067,-74.1691738,4.45701775
550.8104039,-74.16863319,4.457017818
549.9045056,-74.16809258,4.457017885
560.4713852,-74.16593013,4.457018148
571.2815461,-74.16376768,4.457018405
569.2056223,-74.16322707,4.457018468
560.9818514,-74.16268645,4.457018531
571.0405233,-74.16214584,4.457018594
436.2827689,-74.13241214,4.457021418
439.0380583,-74.13187153,4.457021458
440.6058656,-74.1221405,4.457022114
447.647577,-74.12159988,4.457022146
439.7477084,-74.12105927,4.457022179
568.2968102,-74.16322713,4.457561057
572.2672439,-74.16268652,4.45756112
574.1424583,-74.1621459,4.457561182
561.2166446,-74.16160529,4.457561244
569.529475,-74.15836161,4.457561608
577.4290206,-74.157821,4.457561668
578.5486301,-74.15728039,4.457561727
430.894898,-74.13241218,4.457564006
438.3864163,-74.13187157,4.457564047
434.0455445,-74.12268114,4.457564669
435.9364345,-74.12214053,4.457564702
449.7221594,-74.12159991,4.457564735
450.566189,-74.1210593,4.457564767
435.5337189,-74.12051869,4.457564799
460.033149,-74.11565317,4.457565068
464.6831614,-74.11511255,4.457565096
564.7555405,-74.16268658,4.458103708
567.6441694,-74.16214597,4.45810377
559.578366,-74.16160535,4.458103832
562.3282074,-74.16106474,4.458103894
556.5860906,-74.15890228,4.458104137
545.2835881,-74.15836167,4.458104197
550.9978594,-74.15782106,4.458104256
553.1023251,-74.15728044,4.458104315
442.5904867,-74.13349345,4.458106513
442.4462009,-74.13295284,4.458106554
447.6070713,-74.12214056,4.458107291
447.7551529,-74.12159995,4.458107324
453.9315849,-74.12105933,4.458107356
444.9015544,-74.12051872,4.458107388
459.685432,-74.11619381,4.458107628
461.6131415,-74.1156532,4.458107657
562.7146787,-74.16160541,4.45864642
564.9645868,-74.1610648,4.458646482
543.1928752,-74.15836173,4.458646785
551.2148346,-74.15782112,4.458646844
556.7799215,-74.1572805,4.458646903
452.2248834,-74.13565595,4.458648934
444.857748,-74.13511533,4.458648976
436.2421579,-74.1340341,4.45864906
446.212109,-74.13349349,4.458649102
444.3667831,-74.13295288,4.458649143
449.5303817,-74.11781568,4.45865013
442.9811242,-74.11727507,4.458650159
446.387106,-74.11673445,4.458650188
559.7905863,-74.17133653,4.45918783
441.5831881,-74.1361966,4.459191479
453.7278635,-74.13565599,4.459191522
440.2268659,-74.13511537,4.459191565
435.1633384,-74.13457476,4.459191607
436.2156224,-74.13403415,4.459191649
441.697711,-74.13349353,4.45919169
443.3815136,-74.13295292,4.459191731
438.2224861,-74.1324123,4.459191772
479.2379053,-74.12700616,4.459192156
452.6494486,-74.11781571,4.459192718
450.2792946,-74.11727509,4.459192748
457.7718019,-74.11349079,4.459192943
543.4188307,-74.17187721,4.459730348
553.1400026,-74.1713366,4.459730418
558.8543546,-74.17079598,4.459730486
555.3473995,-74.16647107,4.459731023
555.8540538,-74.16593045,4.459731089
549.728108,-74.16538984,4.459731154
554.4425058,-74.16052431,4.45973172
558.4088097,-74.15349632,4.459732481
439.512889,-74.13727788,4.45973398
433.7246028,-74.13673726,4.459734024
439.178637,-74.13619665,4.459734068
440.0547204,-74.13565603,4.459734111
437.6667916,-74.13349357,4.459734279
462.745337,-74.12862804,4.459734634
469.1735566,-74.12808742,4.459734671
474.0258695,-74.12754681,4.459734708
488.8224732,-74.12700619,4.459734745
491.9130717,-74.12538435,4.459734852
490.3143123,-74.12484373,4.459734887
475.8773093,-74.11835635,4.459735277
471.3561186,-74.11781574,4.459735307
467.4518489,-74.11727512,4.459735336
462.4238102,-74.11619389,4.459735394
459.8540963,-74.1129502,4.459735558
533.033485,-74.17187728,4.460272936
542.9281572,-74.17133667,4.460273006
555.29198,-74.17079605,4.460273075
546.8318998,-74.16755236,4.46027348
550.4433373,-74.16701175,4.460273546
551.6052843,-74.16647113,4.460273611
561.1547771,-74.16593052,4.460273677
547.2174926,-74.15349637,4.460275069
545.3769095,-74.15295576,4.460275125
546.4818166,-74.15241514,4.46027518
440.3711044,-74.1367373,4.460276613
433.2094624,-74.13619669,4.460276656
439.7572751,-74.13565607,4.460276699
450.7348518,-74.13511546,4.460276742
436.9604491,-74.13457484,4.460276784
456.5586302,-74.12916869,4.460277184
464.3145407,-74.12862808,4.460277222
470.7389295,-74.12808746,4.46027726
474.5108078,-74.12754684,4.460277297
482.2827966,-74.12700623,4.460277333
504.4718437,-74.12538438,4.460277441
496.217377,-74.12484377,4.460277476
509.932838,-74.118897,4.460277835
468.4335908,-74.11835638,4.460277866
473.3872017,-74.11565331,4.460278011
533.6170133,-74.17133673,4.460815594
541.9481958,-74.17079612,4.460815663
543.9550663,-74.16755243,4.460816068
547.8616988,-74.16701181,4.460816134
549.6267957,-74.1664712,4.460816199
561.9516293,-74.16593058,4.460816265
553.9369299,-74.16538997,4.46081633
549.0753982,-74.16214628,4.460816711
541.7401468,-74.16106504,4.460816835
547.2052698,-74.16052443,4.460816896
537.3931186,-74.15349643,4.460817657
539.8642598,-74.15295581,4.460817713
539.6818474,-74.1524152,4.460817769
457.6910997,-74.12916873,4.460819773
464.0189205,-74.12862811,4.460819811
477.4122779,-74.1280875,4.460819848
552.8844934,-74.12538442,4.460820029
535.8166233,-74.1248438,4.460820065
523.9010329,-74.11889703,4.460820424
483.5316011,-74.11619395,4.460820571
545.6594789,-74.16701188,4.461358722
550.9873161,-74.16647126,4.461358788
554.6990115,-74.16593065,4.461358853
553.7964312,-74.16539003,4.461358918
549.6549787,-74.16484942,4.461358982
543.3903239,-74.16160572,4.461359361
541.6688297,-74.16106511,4.461359423
540.8024853,-74.16052449,4.461359484
541.6354664,-74.15619956,4.461359961
541.5900243,-74.15565895,4.461360019
465.6521185,-74.14863094,4.461360733
458.7560045,-74.13079061,4.461362245
466.4503795,-74.13025,4.461362284
468.8494856,-74.12916877,4.461362361
474.8097915,-74.12862815,4.461362399
477.9983305,-74.12808753,4.461362437
551.7171888,-74.12376261,4.461362722
546.5923307,-74.12322199,4.461362756
541.4370363,-74.12268137,4.461362789
461.0964572,-74.11132843,4.4613634
467.2479715,-74.11078782,4.461363425
530.8361596,-74.17025564,4.461900907
552.400058,-74.16593071,4.461901441
553.3826388,-74.1653901,4.461901506
550.8939007,-74.16484948,4.46190157
552.8256147,-74.1621464,4.461901887
533.9184607,-74.16160578,4.461901949
532.7728699,-74.16106517,4.461902011
541.1037927,-74.16052455,4.461902072
530.5833295,-74.15619962,4.461902549
534.9355737,-74.15565901,4.461902607
537.2904171,-74.15511839,4.461902664
432.3631074,-74.1356562,4.461904464
456.6588208,-74.13133127,4.461904794
460.6967831,-74.13079065,4.461904834
468.7385871,-74.13025004,4.461904873
551.170861,-74.12322202,4.461905344
554.7189104,-74.12268141,4.461905378
565.5871322,-74.12214079,4.461905411
466.7549261,-74.11186907,4.461905964
461.6254904,-74.11132846,4.461905989
460.5367306,-74.11078784,4.461906014
466.5865278,-74.11024722,4.461906038
533.3098371,-74.16160585,4.462444537
552.1322524,-74.15836215,4.462444902
545.7896761,-74.15782153,4.462444961
544.6110166,-74.1567403,4.462445079
537.9574372,-74.15619968,4.462445137
533.8107184,-74.15565906,4.462445195
468.9387054,-74.14917166,4.462445857
466.2783938,-74.13133131,4.462447383
469.5363838,-74.13079069,4.462447422
472.4973662,-74.13025008,4.462447461
480.0077625,-74.12970946,4.4624475
561.3274964,-74.12268144,4.462447966
558.8515539,-74.12214082,4.462447999
537.7043974,-74.11619404,4.462448337
524.3878915,-74.11565342,4.462448365
525.8807635,-74.1151128,4.462448393
467.7546126,-74.11132848,4.462448578
464.1152205,-74.11078787,4.462448602
555.0427289,-74.15782159,4.46298755
545.0998477,-74.15728097,4.462987609
544.041795,-74.15674035,4.462987667
471.3967175,-74.14971233,4.462988393
461.1076971,-74.14917172,4.462988446
448.8911137,-74.1486311,4.462988498
456.5072685,-74.13241258,4.462989891
465.1391762,-74.13187197,4.462989931
587.8496818,-74.12268147,4.462990555
553.0230308,-74.12214086,4.462990588
544.0845188,-74.11619406,4.462990926
536.5599733,-74.11565345,4.462990954
531.0328273,-74.11511283,4.462990982
457.7889629,-74.11186913,4.462991141
462.2487009,-74.11132851,4.462991166
466.4786899,-74.11078789,4.462991191
548.9015076,-74.1626872,4.463529589
544.49199,-74.15836226,4.463530078
548.1619278,-74.15782165,4.463530138
554.3931012,-74.15728103,4.463530197
548.6750561,-74.15674041,4.463530255
463.0161359,-74.15133424,4.463530819
465.9571252,-74.14971239,4.463530981
458.1611826,-74.14917177,4.463531034
435.2681377,-74.14863115,4.463531086
449.5765198,-74.13890004,4.463531965
466.239074,-74.13187201,4.46353252
720.4464115,-74.12646583,4.463532901
559.9031054,-74.12105965,4.463533242
575.9101793,-74.12051903,4.463533273
576.7773104,-74.11997842,4.463533305
561.4592237,-74.11673471,4.463533486
559.8929179,-74.11619409,4.463533514
545.2078627,-74.11565348,4.463533543
538.3848578,-74.11511286,4.463533571
529.9841954,-74.11457224,4.463533598
541.0396514,-74.16214665,4.46407224
528.3079906,-74.15944356,4.464072546
538.9840625,-74.15782171,4.464072726
